date,open,high,low,close,volume,vix,time
2024-11-13,512.4,514.98,509.95,512.25,24567416,14.02,2024-11-13
2024-11-14,511.91,512.79,507.77,508.69,28679519,14.31,2024-11-14
2024-11-15,502.94,503.33,494.49,496.57,51461054,16.14,2024-11-15
2024-11-18,498.13,502.14,496.73,500.02,27192662,15.58,2024-11-18
2024-11-19,497.42,503.9536,497.08,503.46,24523020,16.35,2024-11-19
2024-11-20,503.16,503.48,496.555,503.17,29565491,17.16,2024-11-20
2024-11-21,506.24,506.96,497.56,504.98,34526738,16.87,2024-11-21
2024-11-22,504.42,506.53,502.78,505.79,23826644,15.24,2024-11-22
2024-11-25,509.9,511.4525,504.2625,506.59,26375166,14.6,2024-11-25
2024-11-26,508.08,510.14,507.23,509.31,26557061,14.1,2024-11-26
2024-11-27,508.17,508.24,501.93,505.3,24957441,14.1,2024-11-27
2024-11-29,505.93,510.34,505.31,509.74,15333968,13.51,2024-11-29
2024-12-02,511.01,516.26,510.62,515.29,25147165,13.34,2024-12-02
2024-12-03,513.95,517.15,513.37,516.87,18597900,13.3,2024-12-03
2024-12-04,520.32,523.52,519.6,523.26,26086222,13.45,2024-12-04
2024-12-05,523.31,524.0399,521.42,521.81,18169632,13.54,2024-12-05
2024-12-06,522.48,526.72,522.35,526.48,23762611,12.77,2024-12-06
2024-12-09,525.55,526.35,521.22,522.38,20674405,14.19,2024-12-09
2024-12-10,523.62,525.38,519.16,520.6,24350040,14.18,2024-12-10
2024-12-11,525.0,530.61,524.59,529.92,32168579,13.58,2024-12-11
2024-12-12,527.68,528.96,526.02,526.5,23577504,13.92,2024-12-12
2024-12-13,530.46,533.1661,527.3001,530.53,28780405,13.81,2024-12-13
2024-12-16,533.08,539.15,533.0,538.17,31979863,14.69,2024-12-16
2024-12-17,536.36,537.48,534.13,535.8,28579070,15.87,2024-12-17
2024-12-18,535.15,536.8799,515.01,516.47,54703155,27.62,2024-12-18
2024-12-19,521.19,521.7599,513.83,514.17,46441754,24.09,2024-12-19
2024-12-20,510.44,524.82,509.29,518.66,60529961,18.36,2024-12-20
2024-12-23,519.55,523.25,516.13,522.87,29672800,16.78,2024-12-23
2024-12-24,524.83,530.05,524.19,529.96,17558215,14.27,2024-12-24
2024-12-26,528.32,531.24,526.31,529.6,19141494,14.73,2024-12-26
2024-12-27,526.01,526.45,517.86,522.56,33839555,15.95,2024-12-27
2024-12-30,515.51,519.36,511.83,515.61,34584028,17.4,2024-12-30
2024-12-31,516.9,517.66,510.26,511.23,29117028,17.35,2024-12-31
2025-01-02,514.3,516.64,505.71,510.23,36389783,17.93,2025-01-02
2025-01-03,513.35,519.6454,512.53,518.58,29059520,16.13,2025-01-03
2025-01-06,524.02,527.92,522.03,524.54,36109734,16.04,2025-01-06
2025-01-07,525.59,525.99,513.28,515.18,36690272,17.82,2025-01-07
2025-01-08,515.08,516.9199,510.57,515.27,30777777,17.7,2025-01-08
2025-01-10,511.48,511.58,503.92,507.19,40532495,19.54,2025-01-10
2025-01-13,501.2,506.02,499.7,505.56,31694210,19.19,2025-01-13
2025-01-14,508.74,510.155,501.59,505.08,33737237,18.71,2025-01-14
2025-01-15,513.03,517.85,511.46,516.7,34957554,16.12,2025-01-15
2025-01-16,518.98,519.0599,512.95,513.08,28229037,16.6,2025-01-16
2025-01-17,522.85,524.0733,513.1086,521.74,51837941,15.97,2025-01-17
2025-01-21,524.48,525.97,520.06,524.8,23627971,15.06,2025-01-21
2025-01-22,529.57,533.82,529.26,531.51,33592988,15.1,2025-01-22
2025-01-23,529.04,532.76,528.45,532.64,23096588,15.02,2025-01-23
2025-01-24,533.02,533.79,528.15,529.63,19878251,14.85,2025-01-24
2025-01-27,511.0,517.99,510.15,514.21,60771695,17.9,2025-01-27
2025-01-28,515.22,523.0,511.78,521.81,33194214,16.41,2025-01-28
2025-01-29,522.46,522.59,516.8988,520.83,26649011,16.56,2025-01-29
2025-01-30,523.71,526.095,518.21,523.05,27431302,15.84,2025-01-30
2025-01-31,526.92,531.5178,521.19,522.29,38845467,16.43,2025-01-31
2025-02-03,513.47,520.8496,511.05,518.11,40580835,18.62,2025-02-03
2025-02-04,518.63,525.11,518.23,524.47,26046753,17.21,2025-02-04
2025-02-05,521.82,527.01,520.62,526.85,21134070,15.77,2025-02-05
2025-02-06,527.36,529.81,525.7413,529.6,19434454,15.5,2025-02-06
2025-02-07,530.14,532.1,522.19,522.92,29605470,16.54,2025-02-07
2025-02-10,527.22,530.3571,526.75,529.25,20852784,15.81,2025-02-10
2025-02-11,525.96,529.92,525.83,527.99,19325500,16.02,2025-02-11
2025-02-12,522.3,529.19,521.95,528.3,25009362,15.89,2025-02-12
2025-02-13,529.98,536.22,529.19,535.9,28714799,15.1,2025-02-13
2025-02-14,536.005,538.84,535.67,538.15,17862572,14.77,2025-02-14
2025-02-18,539.73,540.0,536.04,539.37,20565028,15.35,2025-02-18
2025-02-19,538.57,540.81,536.46,539.52,19666861,15.27,2025-02-19
2025-02-20,538.73,539.1,532.46,537.23,26550753,15.66,2025-02-20
2025-02-21,538.38,538.4,525.71,526.08,47093750,18.21,2025-02-21
2025-02-24,527.88,529.069,519.53,519.87,39268392,18.98,2025-02-24
2025-02-25,519.24,519.32,509.44,513.32,48940025,19.43,2025-02-25
2025-02-26,515.53,519.66,511.37,514.56,34457618,19.1,2025-02-26
2025-02-27,518.13,519.0699,500.05,500.27,52447966,21.13,2025-02-27
2025-02-28,500.13,508.78,496.93,508.17,47654043,19.63,2025-02-28
2025-03-03,511.52,513.04,493.58,497.05,44587204,22.78,2025-03-03
2025-03-04,494.18,503.74,487.735,495.55,67875402,23.51,2025-03-04
2025-03-05,496.2,503.63,491.26,502.01,46323725,21.93,2025-03-05
2025-03-06,493.69,498.58,486.2,488.2,57574332,24.87,2025-03-06
2025-03-07,487.16,493.28,480.53,491.79,54714726,23.37,2025-03-07
2025-03-10,483.45,483.97,468.66,472.73,76668029,27.86,2025-03-10
2025-03-11,472.35,478.805,467.01,471.6,68760771,26.92,2025-03-11
2025-03-12,479.16,481.06,471.79,476.92,46971082,24.23,2025-03-12
2025-03-13,476.25,476.2801,466.43,468.34,46563349,24.66,2025-03-13
2025-03-14,473.73,480.56,473.12,479.66,43563010,21.77,2025-03-14
2025-03-17,479.61,485.84,477.8,482.77,41744354,20.51,2025-03-17
2025-03-18,479.41,479.61,472.41,474.54,39072265,21.7,2025-03-18
2025-03-19,476.81,485.33,474.87,480.89,40430334,19.9,2025-03-19
2025-03-20,476.88,484.55,476.18,479.26,36780549,19.8,2025-03-20
2025-03-21,474.08,481.61,472.905,480.84,42234874,19.28,2025-03-21
2025-03-24,487.74,491.51,484.4,490.66,34567186,17.48,2025-03-24
2025-03-25,491.39,493.62,490.42,493.46,26035241,17.15,2025-03-25
2025-03-26,492.3,493.16,482.82,484.38,35043357,18.33,2025-03-26
2025-03-27,482.41,486.5799,480.25,481.62,33469817,18.69,2025-03-27
2025-03-28,479.81,480.52,468.05,468.94,46363797,21.65,2025-03-28
2025-03-31,461.92,469.86,457.33,468.92,53000303,22.28,2025-03-31
2025-04-01,467.3,473.63,464.42,472.7,41156226,21.77,2025-04-01
2025-04-02,466.12,479.56,465.86,476.15,49894489,21.51,2025-04-02
2025-04-03,456.44,460.07,450.14,450.66,70456338,30.02,2025-04-03
2025-04-04,438.14,440.37,422.67,422.67,117088441,45.31,2025-04-04
2025-04-07,408.66,443.14,402.39,423.69,161556970,46.98,2025-04-07
2025-04-08,438.16,443.1384,409.79,416.06,101248060,52.33,2025-04-08
2025-04-09,415.57,467.83,415.43,466.0,142876880,33.62,2025-04-09
2025-04-10,453.56,455.59,432.63,446.18,108384092,40.72,2025-04-10
2025-04-11,444.65,455.79,441.33,454.4,52483779,37.56,2025-04-11
2025-04-14,464.46,465.05,452.63,457.48,43941179,30.89,2025-04-14
2025-04-15,458.54,462.38,456.15,457.99,35404210,30.12,2025-04-15
2025-04-16,449.03,452.62,437.76,444.18,48980552,32.64,2025-04-16
2025-04-17,447.17,447.75,441.36,444.1,44837047,29.65,2025-04-17
2025-04-21,438.23,439.08,427.93,433.11,44149313,33.82,2025-04-21
2025-04-22,438.82,447.58,437.62,444.48,52304388,30.57,2025-04-22
2025-04-23,458.17,463.38,452.88,454.56,55801136,28.45,2025-04-23
2025-04-24,456.48,467.66,455.83,467.35,45956136,26.47,2025-04-24
2025-04-25,466.97,473.09,465.39,472.56,38697063,24.84,2025-04-25
2025-04-28,473.03,474.808,466.03,472.41,33550778,25.15,2025-04-28
2025-04-29,470.17,476.4243,469.59,475.53,30613120,24.17,2025-04-29
2025-04-30,467.13,477.2,462.43,475.47,46810610,24.7,2025-04-30
2025-05-01,483.41,487.18,480.74,481.68,43316539,24.6,2025-05-01
2025-05-02,486.54,490.91,484.83,488.83,39218082,22.68,2025-05-02
2025-05-05,484.6,489.03,484.1,485.93,28309490,23.64,2025-05-05
2025-05-06,479.56,485.05,478.19,481.41,32786310,24.76,2025-05-06
2025-05-07,482.08,485.8,476.782,483.3,38109864,23.55,2025-05-07
2025-05-08,488.53,492.7,484.17,488.29,39577592,22.48,2025-05-08
2025-05-09,490.21,491.54,486.195,487.97,27767416,21.9,2025-05-09
2025-05-12,506.99,507.89,501.48,507.85,45090616,18.39,2025-05-12
2025-05-13,509.16,517.39,508.42,515.59,53269573,18.22,2025-05-13
2025-05-14,516.77,519.2279,515.75,518.68,47014516,18.62,2025-05-14
2025-05-15,516.52,521.93,515.17,519.25,50153275,17.83,2025-05-15
2025-05-16,520.66,521.7,517.1,521.51,48394603,17.24,2025-05-16
2025-05-19,514.24,522.53,514.24,522.01,52536154,18.14,2025-05-19
2025-05-20,519.47,520.93,516.66,520.27,42517561,18.09,2025-05-20
2025-05-21,516.27,523.0,511.24,513.04,71292831,20.87,2025-05-21
2025-05-22,513.66,517.71,512.3,514.0,55607169,20.28,2025-05-22
2025-05-23,506.18,511.84,505.58,509.24,58368075,22.29,2025-05-23
2025-05-27,516.15,521.71,514.59,521.22,47226323,18.96,2025-05-27
2025-05-28,522.18,523.68,518.39,518.91,46637175,19.31,2025-05-28
2025-05-29,526.33,526.48,517.32,519.93,58724069,19.18,2025-05-29
2025-05-30,519.44,520.68,511.93,519.11,67662836,18.57,2025-05-30
2025-06-02,517.24,523.45,515.97,523.21,44762817,18.36,2025-06-02
2025-06-03,523.56,528.74,522.69,527.3,44070330,17.69,2025-06-03
2025-06-04,528.01,529.84,525.9694,528.77,41359322,17.61,2025-06-04
2025-06-05,530.18,533.05,522.66,524.79,61286623,18.48,2025-06-05
2025-06-06,530.0,531.8,528.21,529.92,42467021,16.77,2025-06-06
2025-06-09,530.14,532.35,529.01,530.7,33688671,17.16,2025-06-09
2025-06-10,531.17,534.9,528.89,534.21,40664795,16.95,2025-06-10
2025-06-11,535.62,536.78,530.11,532.41,53701033,17.26,2025-06-11
2025-06-12,531.09,534.6438,530.84,533.66,34104887,18.02,2025-06-12
2025-06-13,527.68,531.87,525.73,526.96,55814443,20.82,2025-06-13
2025-06-16,530.5,535.37,530.45,534.29,37622051,19.11,2025-06-16
2025-06-17,531.71,533.325,527.91,529.08,42180866,21.6,2025-06-17
2025-06-18,530.1,532.55,527.4,528.99,43983522,20.14,2025-06-18
2025-06-20,532.26,533.56,524.88,526.83,61643519,20.62,2025-06-20
2025-06-23,526.81,532.17,523.65,531.65,50666146,19.83,2025-06-23
2025-06-24,536.89,540.7,536.27,539.78,45441982,17.48,2025-06-24
2025-06-25,542.06,543.31,539.38,541.16,44804168,16.76,2025-06-25
2025-06-26,543.35,546.67,541.52,546.22,43811432,16.59,2025-06-26
2025-06-27,547.26,549.99,544.545,548.09,57577147,16.32,2025-06-27
2025-06-30,551.26,552.8,549.01,551.64,45548742,16.73,2025-06-30
2025-07-01,549.73,550.71,544.66,546.99,56166736,16.83,2025-07-01
2025-07-02,546.16,551.0,546.12,550.8,36538281,16.64,2025-07-02
2025-07-03,553.18,557.2,553.18,556.22,26443524,16.38,2025-07-03
2025-07-07,553.52,554.34,549.58,552.03,45349323,17.79,2025-07-07
2025-07-08,553.38,554.01,551.1,552.34,36153258,16.81,2025-07-08
2025-07-09,554.48,557.63,553.1,556.25,43045534,15.94,2025-07-09
2025-07-10,556.89,557.3,552.75,555.45,34710913,15.78,2025-07-10
2025-07-11,553.3,555.79,552.05,554.2,39618635,16.4,2025-07-11
2025-07-14,553.99,556.945,551.63,556.21,36453314,17.2,2025-07-14
2025-07-15,560.25,560.8,556.66,556.72,43277661,17.38,2025-07-15
2025-07-16,557.28,560.21,551.56,557.29,52314711,17.16,2025-07-16
2025-07-17,558.02,562.31,557.21,561.8,40423778,16.52,2025-07-17
2025-07-18,563.12,564.7262,559.98,561.26,50484704,16.41,2025-07-18
2025-07-21,562.09,566.06,562.06,564.17,39595214,16.65,2025-07-21
2025-07-22,564.3,564.35,558.61,561.25,43270647,16.5,2025-07-22
2025-07-23,562.34,563.85,559.58,563.81,40215259,15.37,2025-07-23
2025-07-24,565.13,566.24,563.295,565.01,42275541,15.39,2025-07-24
2025-07-25,564.93,567.695,564.27,566.37,30630813,14.93,2025-07-25
2025-07-28,567.74,569.04,566.87,568.14,31498739,15.03,2025-07-28
2025-07-29,570.76,572.11,566.53,567.26,45463317,15.98,2025-07-29
2025-07-30,568.18,570.62,565.05,568.02,43433777,15.48,2025-07-30
2025-07-31,574.54,574.63,563.87,565.01,64613590,16.72,2025-07-31
2025-08-01,558.83,559.02,551.68,553.88,69400789,20.38,2025-08-01
2025-08-04,559.05,564.315,558.95,564.1,47669751,17.52,2025-08-04
2025-08-05,565.39,566.5607,559.73,560.27,48666640,17.85,2025-08-05
2025-08-06,561.11,567.76,560.63,567.32,41823677,16.77,2025-08-06
2025-08-07,571.67,573.32,565.11,569.24,44462972,16.57,2025-08-07
2025-08-08,570.45,574.77,570.15,574.55,35255472,15.15,2025-08-08
2025-08-11,574.69,576.8,571.57,572.85,33112917,16.25,2025-08-11
2025-08-12,575.16,580.35,572.485,580.05,42271441,14.73,2025-08-12
2025-08-13,582.76,583.3199,578.94,580.34,41209294,14.49,2025-08-13
2025-08-14,578.28,581.88,577.91,579.89,45425043,14.83,2025-08-14
2025-08-15,579.8,579.84,575.5743,577.34,49480161,15.09,2025-08-15
2025-08-18,576.44,577.765,575.2412,577.11,29830957,14.99,2025-08-18
2025-08-19,576.39,576.56,568.25,569.28,53752635,15.57,2025-08-19
2025-08-20,568.33,568.45,558.84,565.9,76781087,15.69,2025-08-20
2025-08-21,564.35,566.49,560.98,563.28,46436899,16.6,2025-08-21
2025-08-22,564.67,573.99,563.27,571.97,51502129,14.22,2025-08-22
2025-08-25,570.4,573.2871,569.16,570.32,34044749,14.79,2025-08-25
2025-08-26,569.83,572.92,568.8,572.61,34103014,14.62,2025-08-26
2025-08-27,571.59,574.405,570.37,573.49,36927144,14.85,2025-08-27
2025-08-28,574.11,578.0,572.46,577.08,46787857,14.43,2025-08-28
2025-08-29,574.655,575.03,568.54,570.4,56030409,15.36,2025-08-29
2025-09-02,561.31,565.965,559.535,565.62,65876765,17.17,2025-09-02
2025-09-03,569.23,571.695,566.725,570.07,54230213,16.35,2025-09-03
2025-09-04,570.74,575.6,569.025,575.23,47526280,15.3,2025-09-04
2025-09-05,580.49,581.12,571.53,576.06,68342532,15.18,2025-09-05
2025-09-08,578.37,580.84,577.77,578.87,46371354,15.11,2025-09-08
2025-09-09,579.67,580.94,577.04,580.51,44007592,15.04,2025-09-09
2025-09-10,583.74,583.77,578.55,580.7,49307959,15.35,2025-09-10
2025-09-11,583.24,584.88,581.62,584.08,44745766,14.71,2025-09-11
2025-09-12,585.04,587.86,584.1,586.66,50745886,14.76,2025-09-12
2025-09-15,588.44,591.79,588.295,591.68,44360315,15.69,2025-09-15
2025-09-16,592.61,592.86,590.49,591.18,36942130,16.36,2025-09-16
2025-09-17,591.1,591.75,584.365,590.0,69384820,15.72,2025-09-17
2025-09-18,594.91,598.14,592.96,595.32,61069294,15.7,2025-09-18
2025-09-19,597.33,600.05,595.85,599.35,58196109,15.45,2025-09-19
2025-09-22,597.74,602.87,597.72,602.2,57154769,16.1,2025-09-22
2025-09-23,602.37,602.57,596.98,598.2,64635486,16.64,2025-09-23
2025-09-24,599.58,599.9,593.36,596.1,49850301,16.18,2025-09-24
2025-09-25,592.2,595.115,588.5,593.53,70920209,16.74,2025-09-25
2025-09-26,594.35,596.3,591.06,595.97,54337416,15.29,2025-09-26
2025-09-29,599.11,602.05,597.41,598.73,48332934,16.12,2025-09-29
2025-09-30,598.43,600.71,596.1,600.37,46533814,16.28,2025-09-30
2025-10-01,597.17,603.79,596.34,603.25,46899612,16.29,2025-10-01
2025-10-02,607.06,607.16,602.93,605.73,43765410,16.63,2025-10-02
2025-10-03,606.51,607.3255,601.385,603.18,46482098,16.65,2025-10-03
2025-10-06,608.45,609.36,605.97,607.71,41962115,16.37,2025-10-06
2025-10-07,609.02,609.71,603.03,604.51,58209463,17.24,2025-10-07
2025-10-08,605.41,611.75,605.26,611.44,50629754,16.3,2025-10-08
2025-10-09,611.48,611.61,607.48,610.7,45550958,16.43,2025-10-09
2025-10-10,611.4,613.18,589.05,589.5,97614783,21.66,2025-10-10
2025-10-13,599.68,602.95,597.23,602.01,65872584,19.03,2025-10-13
2025-10-14,595.31,602.69,590.13,598.0,69203187,20.81,2025-10-14
2025-10-15,604.01,606.7,595.93,602.22,62805456,20.64,2025-10-15
2025-10-16,605.11,608.31,595.5,599.99,70981963,25.31,2025-10-16
2025-10-17,597.95,605.51,596.37,603.93,72024872,20.78,2025-10-17
2025-10-20,607.14,612.8,607.065,611.54,45761697,18.23,2025-10-20
2025-10-21,611.64,612.7213,609.32,611.38,44538161,17.87,2025-10-21
2025-10-22,610.82,611.41,599.74,605.49,61478802,18.6,2025-10-22
2025-10-23,604.91,611.37,604.52,610.58,42844298,17.3,2025-10-23
2025-10-24,615.99,618.42,615.13,617.1,47632473,16.37,2025-10-24
2025-10-27,624.52,628.55,624.03,628.09,54098611,15.79,2025-10-27
2025-10-28,630.36,634.68,629.25,632.92,61195733,16.42,2025-10-28
2025-10-29,635.59,637.01,630.25,635.77,67422806,16.92,2025-10-29
2025-10-30,632.17,633.5,625.94,626.05,61628621,16.91,2025-10-30
2025-10-31,634.17,634.2,626.69,629.07,66305147,17.44,2025-10-31
2025-11-03,635.11,635.82,629.85,632.08,37154307,17.17,2025-11-03
2025-11-04,623.28,626.95,618.455,619.25,63830768,19.0,2025-11-04
2025-11-05,618.49,626.6,617.21,623.28,48688484,18.01,2025-11-05
2025-11-06,621.79,622.04,610.3,611.67,72115128,19.5,2025-11-06
2025-11-07,608.31,609.95,598.67,609.74,81835388,19.08,2025-11-07
2025-11-10,618.92,624.31,616.89,623.23,55919931,17.6,2025-11-10
2025-11-11,620.57,622.72,617.52,621.57,44868841,17.28,2025-11-11
2025-11-12,624.84,624.86,617.81,621.08,47444384,17.51,2025-11-12
2025-11-13,617.54,618.12,606.08,608.4,71333634,20.0,2025-11-13
